Sample	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences
I11698_green.hg19	0.006891666	0.0	35972127.0	100.0	0.0	16.547150520179137	35972127.0
I13698_v39.hg19	0.007068155	0.0	33279130.0	100.0	0.0	18.429192710266165	33279130.0
I13768_green.hg19	0.006908386	0.0	53169896.0	100.0	0.0	21.070349658009487	53169896.0
I6221_aln.sort	0.00555546	0.0	11478616.0	100.0	0.0	11.878810128329059	11478616.0
I6224_aln.sort	0.005189417	0.0	8982095.0	100.0	0.0	13.830826772595925	8982095.0
I6226_aln.sort	0.005473518	0.0	10226826.0	100.0	0.0	15.2218782249742	10226826.0
I6228_aln.sort	0.005778221	0.0	11451444.0	100.0	0.0	14.237540697924208	11451444.0
I6230_aln.sort	0.005427555	0.0	8826630.0	100.0	0.0	19.499718465597855	8826630.0
I6232_aln.sort	0.005477687	0.0	12099213.0	100.0	0.0	12.927196173833785	12099213.0
I6233_aln.sort	0.005671627	0.0	11944522.0	100.0	0.0	11.94470569856207	11944522.0
I6262_aln.sort	0.006406032	0.0	11187879.0	100.0	0.0	14.758346957452792	11187879.0
I6263_aln.sort	0.005481746	0.0	11374642.0	100.0	0.0	13.481277037114664	11374642.0
I6264_aln.sort	0.00558759	0.0	5465545.0	100.0	0.0	15.817361306146047	5465545.0
I6347_aln.sort	0.006192167	0.0	27764818.0	100.0	0.0	23.740749894344706	27764818.0
I6348_green.hg19	0.005564803	0.0	19756905.0	100.0	0.0	15.952083587991137	19756905.0
I6349_aln.sort	0.005889931	0.0	12026300.0	100.0	0.0	23.195380125225547	12026300.0
I6351_aln.sort	0.005898675	0.0	17415785.0	100.0	0.0	21.018495577431622	17415785.0
I6352_aln.sort	0.00594371	0.0	13531009.0	100.0	0.0	18.875517708989772	13531009.0
