Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
I11698_green.hg19	35972127.0	0.0	35972127.0	1.0	35972127.0	0.0	35972127.0	0.0	0.0	0.0	0.0	0.0	5952362.0	0.0	0.0	0.0	2030918082.0	2030918082.0	0.0	2030918082.0	2030917510.0	0.0	0.0	13996406.0	0.006891666	56.0	56.0	0.0	123.0	123.0	0.0	35.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	16.547150520179137	0.0
I13698_v39.hg19	33279130.0	0.0	33279130.0	1.0	33279130.0	0.0	33279130.0	0.0	0.0	0.0	0.0	0.0	6133075.0	0.0	0.0	0.0	1937626401.0	1937626401.0	0.0	1937626401.0	1937625644.0	0.0	0.0	13695439.0	0.007068155	58.0	58.0	0.0	123.0	123.0	0.0	35.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	18.429192710266165	0.0
I13768_green.hg19	53169896.0	0.0	53169896.0	1.0	53169896.0	0.0	53169896.0	0.0	0.0	0.0	0.0	0.0	11203083.0	0.0	0.0	0.0	2846453945.0	2846453945.0	0.0	2846453945.0	2846453502.0	0.0	0.0	19664398.0	0.006908386	53.0	54.0	0.0	123.0	123.0	0.0	35.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	21.070349658009487	0.0
I6221_aln.sort	11478616.0	0.0	11478616.0	1.0	11478616.0	0.0	11478616.0	0.0	0.0	0.0	0.0	0.0	1363523.0	0.0	0.0	0.0	708162111.0	708162111.0	0.0	708162111.0	708162021.0	0.0	0.0	3934166.0	0.00555546	61.0	62.0	0.0	123.0	123.0	0.0	35.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	11.878810128329059	0.0
I6224_aln.sort	8982095.0	0.0	8982095.0	1.0	8982095.0	0.0	8982095.0	0.0	0.0	0.0	0.0	0.0	1242298.0	0.0	0.0	0.0	545698965.0	545698965.0	0.0	545698965.0	545698892.0	0.0	0.0	2831859.0	0.005189417	60.0	61.0	0.0	123.0	123.0	0.0	35.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	13.830826772595925	0.0
I6226_aln.sort	10226826.0	0.0	10226826.0	1.0	10226826.0	0.0	10226826.0	0.0	0.0	0.0	0.0	0.0	1556715.0	0.0	0.0	0.0	569882934.0	569882934.0	0.0	569882934.0	569882865.0	0.0	0.0	3119264.0	0.005473518	55.0	56.0	0.0	123.0	123.0	0.0	35.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	15.2218782249742	0.0
I6228_aln.sort	11451444.0	0.0	11451444.0	1.0	11451444.0	0.0	11451444.0	0.0	0.0	0.0	0.0	0.0	1630404.0	0.0	0.0	0.0	657621133.0	657621133.0	0.0	657621133.0	657621083.0	0.0	0.0	3799880.0	0.005778221	57.0	57.0	0.0	123.0	123.0	0.0	35.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	14.237540697924208	0.0
I6230_aln.sort	8826630.0	0.0	8826630.0	1.0	8826630.0	0.0	8826630.0	0.0	0.0	0.0	0.0	0.0	1721168.0	0.0	0.0	0.0	467530602.0	467530602.0	0.0	467530602.0	467530556.0	0.0	0.0	2537548.0	0.005427555	52.0	53.0	0.0	123.0	123.0	0.0	35.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	19.499718465597855	0.0
I6232_aln.sort	12099213.0	0.0	12099213.0	1.0	12099213.0	0.0	12099213.0	0.0	0.0	0.0	0.0	0.0	1564089.0	0.0	0.0	0.0	722371406.0	722371406.0	0.0	722371406.0	722371295.0	0.0	0.0	3956924.0	0.005477687	59.0	60.0	0.0	123.0	123.0	0.0	35.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	12.927196173833785	0.0
I6233_aln.sort	11944522.0	0.0	11944522.0	1.0	11944522.0	0.0	11944522.0	0.0	0.0	0.0	0.0	0.0	1426738.0	0.0	0.0	0.0	733520308.0	733520308.0	0.0	733520308.0	733520199.0	0.0	0.0	4160253.0	0.005671627	61.0	61.0	0.0	123.0	123.0	0.0	35.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	11.94470569856207	0.0
I6262_aln.sort	11187879.0	0.0	11187879.0	1.0	11187879.0	0.0	11187879.0	0.0	0.0	0.0	0.0	0.0	1651146.0	0.0	0.0	0.0	672016695.0	672016695.0	0.0	672016695.0	672016572.0	0.0	0.0	4304960.0	0.006406032	60.0	60.0	0.0	123.0	123.0	0.0	35.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	14.758346957452792	0.0
I6263_aln.sort	11374642.0	0.0	11374642.0	1.0	11374642.0	0.0	11374642.0	0.0	0.0	0.0	0.0	0.0	1533447.0	0.0	0.0	0.0	675818203.0	675818203.0	0.0	675818203.0	675818090.0	0.0	0.0	3704663.0	0.005481746	59.0	59.0	0.0	123.0	123.0	0.0	35.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	13.481277037114664	0.0
I6264_aln.sort	5465545.0	0.0	5465545.0	1.0	5465545.0	0.0	5465545.0	0.0	0.0	0.0	0.0	0.0	864505.0	0.0	0.0	0.0	352980111.0	352980111.0	0.0	352980111.0	352980064.0	0.0	0.0	1972308.0	0.00558759	64.0	65.0	0.0	123.0	123.0	0.0	35.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	15.817361306146047	0.0
I6347_aln.sort	27764818.0	0.0	27764818.0	1.0	27764818.0	0.0	27764818.0	0.0	0.0	0.0	0.0	0.0	6591576.0	0.0	0.0	0.0	1489613612.0	1489613612.0	0.0	1489613612.0	1489613242.0	0.0	0.0	9223933.0	0.006192167	53.0	54.0	0.0	123.0	123.0	0.0	35.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	23.740749894344706	0.0
I6348_green.hg19	19756905.0	0.0	19756905.0	1.0	19756905.0	0.0	19756905.0	0.0	0.0	0.0	0.0	0.0	3151638.0	0.0	0.0	0.0	1235033859.0	1235033859.0	0.0	1235033859.0	1235033712.0	0.0	0.0	6872720.0	0.005564803	62.0	63.0	0.0	123.0	123.0	0.0	35.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	15.952083587991137	0.0
I6349_aln.sort	12026300.0	0.0	12026300.0	1.0	12026300.0	0.0	12026300.0	0.0	0.0	0.0	0.0	0.0	2789546.0	0.0	0.0	0.0	629765363.0	629765363.0	0.0	629765363.0	629765279.0	0.0	0.0	3709274.0	0.005889931	52.0	52.0	0.0	123.0	123.0	0.0	35.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	23.195380125225547	0.0
I6351_aln.sort	17415785.0	0.0	17415785.0	1.0	17415785.0	0.0	17415785.0	0.0	0.0	0.0	0.0	0.0	3660536.0	0.0	0.0	0.0	910878761.0	910878761.0	0.0	910878761.0	910878593.0	0.0	0.0	5372977.0	0.005898675	52.0	52.0	0.0	123.0	123.0	0.0	35.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	21.018495577431622	0.0
I6352_aln.sort	13531009.0	0.0	13531009.0	1.0	13531009.0	0.0	13531009.0	0.0	0.0	0.0	0.0	0.0	2554048.0	0.0	0.0	0.0	740391771.0	740391771.0	0.0	740391771.0	740391702.0	0.0	0.0	4400673.0	0.00594371	54.0	55.0	0.0	123.0	123.0	0.0	35.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	18.875517708989772	0.0
I6353_aln.sort	14208005.0	0.0	14208005.0	1.0	14208005.0	0.0	14208005.0	0.0	0.0	0.0	0.0	0.0	2719198.0	0.0	0.0	0.0	778017352.0	778017352.0	0.0	778017352.0	778017256.0	0.0	0.0	4632357.0	0.005954054	54.0	55.0	0.0	123.0	123.0	0.0	35.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	19.138492701825484	0.0
I6356_aln.sort	12574592.0	0.0	12574592.0	1.0	12574592.0	0.0	12574592.0	0.0	0.0	0.0	0.0	0.0	2293649.0	0.0	0.0	0.0	709897256.0	709897256.0	0.0	709897256.0	709897172.0	0.0	0.0	3961097.0	0.005579818	56.0	56.0	0.0	123.0	123.0	0.0	35.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	18.240345293111698	0.0
I6357_aln.sort	6764635.0	0.0	6764635.0	1.0	6764635.0	0.0	6764635.0	0.0	0.0	0.0	0.0	0.0	2150801.0	0.0	0.0	0.0	347299553.0	347299553.0	0.0	347299553.0	347299510.0	0.0	0.0	1974124.0	0.005684212	51.0	51.0	0.0	123.0	123.0	0.0	35.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	31.794782719245013	0.0
I6358_aln.sort	13393578.0	0.0	13393578.0	1.0	13393578.0	0.0	13393578.0	0.0	0.0	0.0	0.0	0.0	3049510.0	0.0	0.0	0.0	718283185.0	718283185.0	0.0	718283185.0	718283084.0	0.0	0.0	4521382.0	0.006294708	53.0	54.0	0.0	123.0	123.0	0.0	35.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	22.76844917765813	0.0
I6359_aln.sort	16283008.0	0.0	16283008.0	1.0	16283008.0	0.0	16283008.0	0.0	0.0	0.0	0.0	0.0	2467560.0	0.0	0.0	0.0	966462413.0	966462413.0	0.0	966462413.0	966462287.0	0.0	0.0	5102659.0	0.005279729	59.0	59.0	0.0	123.0	123.0	0.0	35.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	15.15420246676781	0.0
I6361_aln.sort	15627913.0	0.0	15627913.0	1.0	15627913.0	0.0	15627913.0	0.0	0.0	0.0	0.0	0.0	2800616.0	0.0	0.0	0.0	883420576.0	883420576.0	0.0	883420576.0	883420476.0	0.0	0.0	5013407.0	0.005674995	56.0	57.0	0.0	123.0	123.0	0.0	35.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	17.920601426434867	0.0
I6362_aln.sort	13756364.0	0.0	13756364.0	1.0	13756364.0	0.0	13756364.0	0.0	0.0	0.0	0.0	0.0	3327362.0	0.0	0.0	0.0	706400432.0	706400432.0	0.0	706400432.0	706400343.0	0.0	0.0	4261282.0	0.00603239	51.0	51.0	0.0	123.0	123.0	0.0	35.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	24.187801369606095	0.0
I6363_aln.sort	26561870.0	0.0	26561870.0	1.0	26561870.0	0.0	26561870.0	0.0	0.0	0.0	0.0	0.0	7750284.0	0.0	0.0	0.0	1316251542.0	1316251542.0	0.0	1316251542.0	1316251363.0	0.0	0.0	7553457.0	0.005738613	49.0	50.0	0.0	123.0	123.0	0.0	35.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	29.178231803709604	0.0
I6364_aln.sort	14702455.0	0.0	14702455.0	1.0	14702455.0	0.0	14702455.0	0.0	0.0	0.0	0.0	0.0	3535371.0	0.0	0.0	0.0	743554192.0	743554192.0	0.0	743554192.0	743554092.0	0.0	0.0	4510058.0	0.006065541	50.0	51.0	0.0	123.0	123.0	0.0	35.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	24.046126990356374	0.0
