Sample	Bcftools Stats_mqc-generalstats-bcftools_stats-number_of_records	Bcftools Stats_mqc-generalstats-bcftools_stats-number_of_SNPs	Bcftools Stats_mqc-generalstats-bcftools_stats-number_of_indels	Bcftools Stats_mqc-generalstats-bcftools_stats-tstv	Bcftools Stats_mqc-generalstats-bcftools_stats-number_of_MNPs
I11698_green.hg19.called	664183472.0	1607494.0	6464.0	2.94	0.0
I13698_v39.hg19.called	671557971.0	1753243.0	6809.0	2.44	0.0
I13768_green.hg19.called	962353039.0	2229830.0	9518.0	3.07	0.0
I6221_aln.sort	312312360.0	761684.0	2501.0	3.04	0.0
I6224_aln.sort	266460037.0	633440.0	2169.0	2.97	0.0
I6226_aln.sort	271575584.0	661324.0	1966.0	3.08	0.0
I6228_aln.sort	300972140.0	744784.0	2272.0	3.23	0.0
I6230_aln.sort	238963793.0	578827.0	1670.0	3.03	0.0
I6232_aln.sort	317212348.0	740731.0	2551.0	3.06	0.0
I6233_aln.sort	313008951.0	765588.0	2641.0	3.05	0.0
I6262_aln.sort	316252803.0	882359.0	2473.0	3.36	0.0
I6263_aln.sort	308519607.0	722353.0	2411.0	2.93	0.0
I6264_aln.sort	208433951.0	576000.0	1584.0	3.18	0.0
I6347_aln.sort	627093242.0	1319517.0	5507.0	3.16	0.0
I6348_green.hg19.called	561193994.0	1232293.0	5418.0	2.66	0.0
I6349_aln.sort	327374862.0	784936.0	2177.0	3.36	0.0
I6351_aln.sort	486173890.0	1065533.0	3526.0	3.01	0.0
I6352_aln.sort	388221610.0	962514.0	2856.0	3.14	0.0
I6353_aln.sort	401404852.0	975854.0	3108.0	3.13	0.0
I6356_aln.sort	367519869.0	859356.0	3065.0	3.1	0.0
I6357_aln.sort	239415391.0	623080.0	960.0	3.4	0.0
I6358_aln.sort	376108904.0	962980.0	2676.0	3.12	0.0
I6359_aln.sort	457399035.0	963761.0	4267.0	2.75	0.0
I6361_aln.sort	449752791.0	1020472.0	3615.0	2.86	0.0
I6362_aln.sort	356421303.0	855709.0	2393.0	3.13	0.0
I6363_aln.sort	594482122.0	1243483.0	4420.0	3.33	0.0
I6364_aln.sort	376027085.0	885132.0	2456.0	3.1	0.0
I6365_aln.sort	480425590.0	1063960.0	2742.0	3.56	0.0
I6367_aln.sort	782046706.0	1523768.0	8092.0	2.85	0.0
I6369_aln.sort	559959786.0	1225832.0	4144.0	3.4	0.0
I7021_aln.sort	450418494.0	1017198.0	3203.0	2.93	0.0
I7022_aln.sort	540891467.0	1087454.0	3794.0	2.63	0.0
I7023_aln.sort	321449047.0	879787.0	1447.0	4.22	0.0
I7024_aln.sort	467804395.0	995004.0	3054.0	2.94	0.0
I7027_aln.sort	740863001.0	1505399.0	4073.0	2.68	0.0
I7029_aln.sort	240348300.0	552331.0	1111.0	3.37	0.0
I7030_aln.sort	393423875.0	969440.0	2789.0	3.29	0.0
I7032_aln.sort	444378735.0	976125.0	3754.0	2.83	0.0
I7033_aln.sort	505275910.0	1104435.0	3399.0	2.87	0.0
I7039_aln.sort	577963667.0	1291791.0	3320.0	3.01	0.0
S11696.Y1.E2.L1.1240k_plus.hg19.v1.called	501640648.0	1248358.0	4426.0	2.58	0.0
S11697.Y1.E2.L1.1240k_plus.hg19.v1.called	490769410.0	1256765.0	4106.0	2.62	0.0
S12955.Y1.E1.L1.1240k_plus.hg19.v1.called	502087077.0	1207973.0	4043.0	2.48	0.0
S12957.Y1.E1.L1.1240k_plus.hg19.v1.called	464318947.0	1192914.0	3150.0	2.5	0.0
S12960.Y1.E1.L1.1240k_plus.hg19.v1.called	329868929.0	864780.0	1498.0	3.63	0.0
S12969.Y1.E1.L1.1240k_plus.hg19.v1.called	422162177.0	1145128.0	3118.0	3.06	0.0
S12970.Y1.E1.L1.1240k_plus.hg19.v1.called	465359213.0	1072925.0	3687.0	2.37	0.0
S12971.Y1.E1.L1.1240k_plus.hg19.v1.called	482699758.0	1215339.0	3785.0	2.77	0.0
S12973.Y1.E1.L1.1240k_plus.hg19.v1.called	429382244.0	1113669.0	3575.0	2.89	0.0
