study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB42781	SAMEA7892171	ERX5015236	ERR5211201	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/001/ERR5211201/ERR5211201.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211201/18R21262.EC_aln.on1240k.mapped.rmdupse_v2.md_no1kgvar.pmdTag_udgminus.rg.1.bam	
PRJEB42781	SAMEA7892175	ERX5015237	ERR5211202	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/002/ERR5211202/ERR5211202.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211202/18R21265.EC_aln.on1240k.mapped.rmdupse_v2.md_no1kgvar.pmdTag_udgminus.rg.nonDam_L.30-70.Dam_L.0-1000.1.bam	
PRJEB42781	SAMEA7892180	ERX5015238	ERR5211203	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/003/ERR5211203/ERR5211203.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211203/18R21266.EC_aln.on1240k.mapped.rmdupse_v2.md_no1kgvar.pmdTag_udgminus.rg.1.bam	
PRJEB42781	SAMEA7892139	ERX5015239	ERR5211204	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/004/ERR5211204/ERR5211204.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211204/S11696.Y1.E2.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892144	ERX5015240	ERR5211205	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/005/ERR5211205/ERR5211205.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211205/S11697.Y1.E2.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892140	ERX5015241	ERR5211206	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/006/ERR5211206/ERR5211206.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211206/I11698_green.hg19.bam	
PRJEB42781	SAMEA7892158	ERX5015242	ERR5211207	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/007/ERR5211207/ERR5211207.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211207/I1190_aln.sort.mapped.rmdupse_adna_v2.md.1.bam	
PRJEB42781	SAMEA7892157	ERX5015243	ERR5211208	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/008/ERR5211208/ERR5211208.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211208/I1192_aln.sort.mapped.rmdupse_adna_v2.md.1.bam	
PRJEB42781	SAMEA7892152	ERX5015244	ERR5211209	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/009/ERR5211209/ERR5211209.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211209/I1193_aln.sort.mapped.rmdupse_adna_v2.md.1.bam	
PRJEB42781	SAMEA7892159	ERX5015245	ERR5211210	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/000/ERR5211210/ERR5211210.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211210/I1194_aln.sort.mapped.rmdupse_adna_v2.md.1.bam	
PRJEB42781	SAMEA7892148	ERX5015246	ERR5211211	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/001/ERR5211211/ERR5211211.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211211/I1196_aln.sort.mapped.rmdupse_adna_v2.md.1.bam	
PRJEB42781	SAMEA7892154	ERX5015247	ERR5211212	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/002/ERR5211212/ERR5211212.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211212/I1197_aln.sort.mapped.rmdupse_adna_v2.md.1.bam	
PRJEB42781	SAMEA7892151	ERX5015248	ERR5211213	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/003/ERR5211213/ERR5211213.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211213/I1198_aln.sort.mapped.rmdupse_adna_v2.md.1.bam	
PRJEB42781	SAMEA7892223	ERX5015249	ERR5211214	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/004/ERR5211214/ERR5211214.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211214/I1202_aln.sort.mapped.rmdupse_adna_v2.md.1.bam	
PRJEB42781	SAMEA7892150	ERX5015250	ERR5211215	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/005/ERR5211215/ERR5211215.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211215/I1206_aln.sort.mapped.rmdupse_adna_v2.md.1.bam	
PRJEB42781	SAMEA7892188	ERX5015251	ERR5211216	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/006/ERR5211216/ERR5211216.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211216/S12955.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892233	ERX5015252	ERR5211217	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/007/ERR5211217/ERR5211217.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211217/S12956.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892184	ERX5015253	ERR5211218	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/008/ERR5211218/ERR5211218.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211218/S12957.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892191	ERX5015254	ERR5211219	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/009/ERR5211219/ERR5211219.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211219/S12958.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892196	ERX5015255	ERR5211220	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/000/ERR5211220/ERR5211220.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211220/S12960.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892214	ERX5015256	ERR5211221	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/001/ERR5211221/ERR5211221.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211221/S12969.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892234	ERX5015257	ERR5211222	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/002/ERR5211222/ERR5211222.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211222/S12970.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892225	ERX5015258	ERR5211223	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/003/ERR5211223/ERR5211223.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211223/S12971.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892194	ERX5015259	ERR5211224	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/004/ERR5211224/ERR5211224.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211224/S12972.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892203	ERX5015260	ERR5211225	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/005/ERR5211225/ERR5211225.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211225/S12973.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892303	ERX5015261	ERR5211226	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/006/ERR5211226/ERR5211226.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211226/S12974.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892209	ERX5015262	ERR5211227	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/007/ERR5211227/ERR5211227.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211227/S12975.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892197	ERX5015263	ERR5211228	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/008/ERR5211228/ERR5211228.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211228/S12976.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892179	ERX5015264	ERR5211229	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/009/ERR5211229/ERR5211229.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211229/S12977.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892183	ERX5015265	ERR5211230	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/000/ERR5211230/ERR5211230.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211230/S12978.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892189	ERX5015266	ERR5211231	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/001/ERR5211231/ERR5211231.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211231/S13173.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892192	ERX5015267	ERR5211232	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/002/ERR5211232/ERR5211232.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211232/S13174.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892295	ERX5015268	ERR5211233	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/003/ERR5211233/ERR5211233.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211233/S13175.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892301	ERX5015269	ERR5211234	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/004/ERR5211234/ERR5211234.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211234/S13176.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892218	ERX5015270	ERR5211235	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/005/ERR5211235/ERR5211235.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211235/S13178.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892141	ERX5015271	ERR5211236	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/006/ERR5211236/ERR5211236.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211236/S13179.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892178	ERX5015272	ERR5211237	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/007/ERR5211237/ERR5211237.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211237/S13180.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892232	ERX5015273	ERR5211238	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/008/ERR5211238/ERR5211238.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211238/S13504.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892215	ERX5015274	ERR5211239	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/009/ERR5211239/ERR5211239.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211239/S13505.Y1.E1.L1.1240k_plus.hg19.v1.bam	
PRJEB42781	SAMEA7892271	ERX5015275	ERR5211240	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/000/ERR5211240/ERR5211240.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211240/S13692.E1.L1.1240k+.hg19.v1.bam	
PRJEB42781	SAMEA7892284	ERX5015276	ERR5211241	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR521/001/ERR5211241/ERR5211241.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR521/ERR5211241/S13694.E1.L1.1240k+.hg19.v1.bam	
